,name,street,zip,city,siren,status,description,working_hours,no_cars
589,Andrezieux Autos,10 boulevard Pierre Desgranges,42160,Andrezieux-bouthéon,481578029,Actif depuis le 29/08/2012,"Chez ANDREZIEUX AUTOS, vous aurez le choix entre une large gamme de véhicules neufs et d’occasion.

Installés à Andrézieux-Bouthéon, près de Saint-Just-Saint-Rambert et de Veauche, nous proposons également des services de mécanique et de carrosserie automobile.","Lundi au Jeudi  8h - 12h  /  14h - 18h30
Vendredi  8h - 12h  / 14h -18h 

L'atelier (Lun - Ven) 8h - 12h / 14h - 18h",Annonces (18)
590,ANDRILLOTS AUTOMOBILE,150 rue des andrillots,26600,GRANGES LES BEAUMONT,928322254,Actif depuis le 13/06/2024,"Achat, vente et reprise de véhicules neufs et d'occasions récentes multimarques. Tous nos véhicules sont garantis et révisés. Vous avez la possibilité de voir nos véhicules sur parc. Notre expérience , nous permet de vous conseiller dans votre achat en cas de besoin.
À très bientôt.","Du lundi au vendredi de 10h à 18h non stop
Samedi sur rendez vous",Annonces (28)
591,ANDRIOLO Automobile,36 boulevard de Joffrery,31600,MURET,449312289,Actif depuis le 31/01/2023,"Depuis plus de 15 ans sur Toulouse, ANDRIOLO AUTOMOBILE 
c'est plus de 1 500 VÉHICULES toutes marques à des prix 
exceptionnels.
Nos labels DISTINXION et ZERO KM, vous assurent des 
véhicules récents de moins 30 000 kms et moins de 30 mois.
Chaque véhicule est révisé et contrôlé suivant 100 points 
de contrôle vous permettant de bénéficier d’une GARANTIE 
constructeur ou de 12 mois minimum.
Une sélection de 150 véhicules à des offres pouvant aller 
jusqu’à - 40 % vous attend sur notre parc de 7 000 m².

Véritable centre multi marques situé à 15 km de Toulouse, 
ANDRIOLO AUTOMOBILE vous assure les prestations suivantes :
- CONSEIL PERSONNALISE
- REPRISE DE VOTRE ANCIEN VÉHICULE
- SOLUTION DE FINANCEMENT ADAPTÉE
- ATELIER MÉCANIQUE
- EXTENSION DE GARANTIE
- PRÊT DE VÉHICULE
- GESTION DE VOS DÉMARCHES ADMINISTRATIVE
- SERVICE DE RÉCEPTION CLIENTS DEPUIS GARE OU AÉROPORT","DU LUNDI AU SAMEDI:
8H30 - 12H et 14H - 19H

A 15 Kms de Toulouse
Nous pouvons également vous réceptionner à 
la gare ou l'aéroport.",Annonces (73)
592,Anel autos,"20, rue des Gravières",68000,Colmar,979773298,Actif depuis le 11/10/2023,ACHAT VENTE REPRISE VÉHICULE TOUTES MARQUES,"de 09h00 à 12h00 et de 14h00 à 19h00 du lundi au vendredi
samedi de 9h à 17",Annonces (16)
593,ANGANO AUTOMOBILES,30 Rue de Bel air,19100,Brive-la-Gaillarde,927458778,Actif depuis le 27/05/2024,"Je suis Anthony Garcés fondateur de l’entreprise ANGANO Automobiles. Je propose mes services afin faciliter la vente de votre voiture. Nous pouvons nous rencontrer, je me déplace sur le lieu de votre choix.
En travaillant avec moi, vous bénéficierez de :
• Gain de temps : Je m'occupe de toutes les démarches, des appels et des rendez-vous.
• Sécurité : Gestion de toute la documentation administrative et légale et sécurisation du paiement, nous mettons une garantie 6mois minimum sur votre véhicule
• Optimisation : Amélioration de l'annonce pour attirer plus d'acheteurs potentiels.

Tout cela GRATUITEMENT , notre marge est dans le prix de vente du véhicule !
Si vous êtes intéressé, je serais ravi de discuter de votre véhicule et de vous expliquer comment je peux vous aider à le vendre rapidement et au meilleur prix.","Lundi - Samedi 
8h-20h",Annonces (5)
594,Angel Cars,Avenue de thionville,57140,Woippy,879622678,Actif depuis le 12/03/2020,"Bienvenue ,

Nous sommes spécialisés dans l'achat / vente et la
reprise de véhicules d'occasions toutes marques.

Visite virtuelle des véhicules et assistance personnalisée.

 Tous nos véhicules sont éligibles pour une garantie dans toute la France dans les garages multimarques.

Notre partenaire agréé par l'État s'occupera de toutes les démarches administratives.

N'hésitez pas à nous contacter pour plus de
renseignements sur votre prochain véhicule.

Recherche personnalisée sur demande .","lundi - vendredi 

-9h00 - 18h00

samedi de 9h00 -12h00

Téléphone ☎️ 07 83 10 04 62",Annonces (5)
595,ANGELE AUTOMOBILES,22 Avenue Leonard De Vinci,31880,LA SALVETAT SAINT GILLES,538625732,Actif depuis le 08/01/2012,"Depuis 2010, Angelé Automobiles, concession indépendante, vous propose une large gamme de véhicules d’exception neufs ou d’occasions. Votre concession est composée d’une équipe passionnée, prête à répondre à votre demande et à vous accompagner dans votre recherche. Nous garantissons un service de qualité grâce à l’expertise de nos collaborateurs qui analysent la qualité, l’état et le passif de chaque véhicule qui passe entre nos mains.","Du Lundi au Vendredi de 08:30 à 12:30 et de 14:00 à 18:30.
Le Samedi uniquement sur RDV.
Bureau : 05 31 61 48 80
06 98 58 26 28 ou 06 12 82 53 00",Annonces (22)
596,Angers Auto Prestige,41 rue joseph cugnot,49130,Sainte-Gemmes-sur-Loire,899340210,Actif depuis le 31/05/2021,"Issu d’une famille imprégnée de la passion automobile, Adrien Bellanger a toujours eu pour projet de créer sa structure de vente de véhicules haut de gamme et d’exception. C’est ainsi qu’en 2021, il a décidé de mettre à disposition de ses clients ses connaissances automobiles en fondant Angers Auto Prestige.

Chez Angers Auto Prestige, Adrien et Melvin vous proposent principalement des voitures à caractère sportif mais aussi des véhicules destinés à un usage quotidien suite aux nombreuses sollicitations de nos clients.

L’ensemble de nos véhicules sont en excellent état, suivis et entretenus, vendus avec une garantie de 6 mois à 1 an. Nous vous proposons également un service de mise en dépôt vente gratuit, un service de reprise et un service de recherche personnalisée grâce auquel nous nous occupons de rechercher pour vous le véhicule dont vous avez toujours rêvé.


• 41 rue Joseph Cugnot , 49130 Sainte Gemmes sur Loire
• Du lundi au samedi, 9h-12h / 14h-18h (principalement sur rendez-vous)
• 07 50 95 36 11
• angersautoprestige@mail.com",Du lundi au samedi de 09h00 à 12h00 et de 14h00 18h00 (principalement sur rendez-vous),Annonces (23)
597,ANGERS AUTO SPORT,14BIS BOULEVARD DE LA LIBERTE,49000,Angers,383874955,Actif depuis le 02/03/2012,"Présents depuis plus de 30 ans dans l'Ouest de la France, le groupe Auto Sport vous propose, à travers son réseau de concession à taille humaine, des voitures neuves de marque HONDA. Nos équipes seront heureuses de vous accueillir du lundi au samedi pour vous faire découvrir l'ensemble de nos offres. Voitures neuves ou d'occasion, en achat ou en location, nous serons là pour vous conseiller et vous aider dans votre choix",sur rendez-vous,Annonces (19)
598,ANGLES AUTO,431 Rue des Routiers,12000,Rodez,900303728,Actif depuis le 13/08/2021,"Concessionnaire indépendant situé au 431 Rue des Routiers 12000 Rodez en Aveyron depuis 2021, ANGLES AUTO est une entreprise conviviale constitué de jeune dynamique au service de l'automobile. Nos plus grandes valeurs sont la satisfaction client, un service de qualité et une réelle passion de l'automobile.

Nous proposons de nombreux service de qualité, bien évidemment de la vente mais également des rachats rapide, des reprises, de l'importation pour tout véhicule qui conviens d'une recherche personnalisée et également de toutes démarches administratives concernant l'immatriculation de vos véhicules.

Nous travaillons avec des partenaires spécialisés pour tout ce qui est travaux mécaniques et carrosseries pour vous proposer les meilleures révisions et entretiens sur vos futurs véhicules.

Tout nos véhicules sont révisés, nettoyés et garantis (via contrat). Nous nous efforçons jour après jour pour avoir le meilleur service client possible et être à la hauteur de toutes vos attentes afin de rendre une vente un réel moment de partage et de plaisir.",Tous les jours uniquement sur rendez-vous.,Annonces (20)
599,Angoulême Recup' Autos,1562 Route Claude Bonnier - LES RASSATS,16590,BRIE,339601759,Actif depuis le 15/02/2013,"Professionnel de la vente de pièces et de véhicules
d'occasions depuis 1976 et Membre du réseau INDRA 
- 379 centres agréés pour le recyclage des Véhicules hors
d'usage - 

Notre équipe vous propose également des véhicules
d’occasion et vous accompagne dans vos recherches de toutes
vos pièces neuves et d’occasion. 

IMPORTANT STOCK DE : MOTEURS, BOITES DE VITESSES, TURBO,
INJECTEURS, POMPES A INJECTION, COMPRESSEURS DE CLIM,
DEMARREURS, ALTERNATEURS, VOLANTS MOTEURS, BLOCS ABS ...

Responsable e-commerce : 06.21.19.06.39","Du Lundi 14H à 18 h
au Vendredi
de 9h à 12h et de 14h à 18h",
600,ANI-AUTO,la Croix ZA Le Ballon,35150,Piré-Chancé,890115017,Actif depuis le 10/03/2018,"Ouvert 5/7 jours toute l’année, Ani-Auto vous propose un choix multimarque permanent proche de Châteaugiron et de Rennes.
Nous sommes à votre service pour vous accompagner dans votre projet d’achat.

Conscients de l’importance que vous y accordez, notre objectif est de vous proposer une sélection de véhicules de qualité tout en vous faisant profiter de tarifs très compétitifs.
Oui, il est possible de proposer un choix de qualité au meilleur prix du marché. C'est notre défi !

Nous sommes à votre écoute et vous guidons du premier contact jusqu’à la mise à disposition de votre nouveau véhicule.
A l'issue de votre achat, notre système de garantie de 3 mois minimum vous permet de conserver une sérénité .Notre stock de véhicules évoluant tous les jours, nous vous invitons à consulter régulièrement notre site Internet ou à prendre contact avec nous.

Avec Ani-Auto, acheter votre véhicule d’occasion devient étonnamment simple et rassurant.

Venez nous rencontrer !","LUNDI - SAMEDI

DE 9H00 à 12H00
DE 14H00 à 18H30",Annonces (15)
601,ANIES AUTO,1452 avenue du Maréchal Juin,40000,Mont-de-Marsan,845325190,Actif depuis le 07/05/2019,"Le spécialiste des véhicules d'occasions à ""petit prix"" sur Mont de Marsan.

CONSEIL / ACHAT / VENTE / REPRISE / SERVICE DE CARTE GRISE

Arrivage régulier de nouveaux véhicules toutes marques et pour tous les budgets.

 ***Véhicules à partir de 3000€***

L'ensemble de nos véhicules sont révisés et garantis par des spécialistes reconnus du domaine automobile local.

Nous vous accueillons SUR RENDEZ- VOUS sur notre parc auto à Mont de Marsan.

Notre démarche est de vous accompagner et de vous conseiller, en toute confiance et en toute transparence, dans l'achat de votre nouvelle voiture.

Laurent ANIES",Du Lundi au vendredi de 10h à 18h et le samedi sur Rendez vous uniquement,Annonces (30)
602,ANJOU AUTOMOBILES,10 BOULEVARD DU DOYENNE,49100,ANGERS,511114274,Actif depuis le 28/10/2010,"Nous vous proposons la vente de véhicules d'occasion toutes 
marques. 

Tous nos véhicules sont entièrement révisés et sont garantis
3 mois.

Quel que soit votre budget, nous avons le véhicule qu'il 
vous faut !

N'hésitez pas à nous contacter pour toutes informations",Sur rendez vous uniquement,Annonces (45)
603,ANJOU AUTO PRO,1 Rue Jacqueline Maze,49130,Les Ponts-de-Cé,879158459,Actif depuis le 20/04/2022,"Tous nos véhicules sont disponible sur notre parc.

Véhicules toutes marques.

N'hésitez pas à nous contacter.

Nous sommes joignables aussi au 06.52.40.61.72 ou au 06.52.94.87.75.

A très vite !","Du Mardi au Samedi de 9h à 19h 
Le Lundi de 14h30 à 19h 
Fermé le Dimanche et les jours féries",Annonces (40)
604,Anna Rose Automobiles,Zone Artisanale du Foirail,50500,Carentan Les Marais,788576700,Actif depuis le 18/10/2012,"Nous sommes spécialisés dans l'achat et la vente de 
véhicules d'occasion pour tous les budgets.

Notre garage automobile toutes marques vous accompagne dans 
la préparation de votre voiture au contrôle technique.

Nous mettons également à votre disposition notre service de toute
mécanique : pneus, freins, vidange, amortisseurs, 
échappement, distribution, embrayage..

et nous vous proposons également la carrosserie, tôlerie, peinture et le remplacement des pare-brises.

Retrouvez nous sur : www.annaroseautomobiles.fr

OUVERT DU LUNDI OU SAMEDI

Contact principal : 02 33 22 94 68
En cas de surcharge, essayez de nous joindre sur le portable : 06 58 26 11 20","DU LUNDI AU SAMEDI
DE 8H30 à 12H30 et de 
14H00 à 18H30",Annonces (50)
605,ANNECY AUTO,254 Route d'ardonay Pringy,74370,Annecy,983220971,Actif depuis le 08/06/2016,"ANNECY AUTO 254 Route D'Argonay 74370 PRINGY vous 
proposes un large choix de voitures d'occasions 
multi-marque.

Spécialisé dans la vente et l'achat de véhicules d'occasions depuis quelques années, je suis avant tout un passionné des relations humaines. Les actions liées à un changement de véhicule sont souvent génératrices de stress pour bon nombre de personnes. Ma connaissance du marché et mon expertise technique et administrative me permettent de vous accompagner et satisfaire vos demandes en toute sérénité.","Du lundi au vendredi 9h à 12h 
14h à 18h
Samedi 9h30 à 12h",Annonces (63)
606,ANNECY AUTOMOBILES,3 rue de l'euro,74960,Meythet,803873272,Actif depuis le 29/08/2014,"Vente de véhicules.

Votre spécialiste dédié, à votre service pour vous 
satisfaire.

Consultez nos offres !",,Annonces (71)
607,ANNECY PNEUS ET JANTES,4 RUE DE SANSY,74600,Annecy,907608863,Actif depuis le 20/01/2022,Retrouvez tous nos pneus et jantes à la vente dans notre boutique,"Du
Mardi au Vendredi de 9H00  18H00 
sans interruption 
le Samedi 9h00 16h30
sans interruption",Annonces (196)
608,ANNEXE BY MEYNADIER,180 rue Jacquard,30100,Alès,394444061,Actif depuis le 24/07/2023,"Un achat de voiture, c’est un vrai budget ! L’occasion apparaît donc comme la meilleure solution pour acquérir un nouveau véhicule moins cher que le neuf sans négliger la qualité. Groupe Meynadier, votre agent vendeur de véhicules d’occasion à Alès, vous donne les clés pour acheter une voiture d’occasion.",DU LUNDI AU SAMEDI DE 8H A 19H,Annonces (26)
609,ANNONAY DISTRIBUTION AUTOMOBILES,4 rue sadi Carnot,7100,Annonay,841501778,Actif depuis le 28/11/2018,"Negoce de vehicules d occasions Tesla exclusivement 
Fini la commercialisation de véhicules thermiques place aux véhicules électriques! Cette décision renforce l'engagement de notre entreprise envers la durabilité environnementale. La célèbre entreprise Tesla occupe une place prépondérante. Renommée pour son innovation, sa qualité, et ses autonomies réelles
Tesla offre une garantie de 8 ans sur ses moteurs et ses batteries, offrant aux clients une tranquillité d'esprit quant à la durabilité et à la fiabilité de leurs véhicules électriques.
La SAS Annonay Distribution Automobile encourage également l'achat de véhicules Tesla d'occasion.
 Opter pour un véhicule électrique d'occasion au lieu d'un modèle neuf contribue à prolonger la durée de vie utile du véhicule, réduisant ainsi l'empreinte carbone globale de l'industrie automobile.
Enfin, de nombreux clients nous ont déjà fait confiance pour l'achat de véhicules Tesla,
 Leurs témoignages de satisfaction abondent sur Google. Ces avis positifs témoignent de la qualité du service client et de la satisfaction des clients
 Ils sont une source d'encouragement et de motivation.
 Nous sommes à votre disposition pour vous aider à trouver le Tesla de vos Rêves.",,Annonces (4)
610,AN ORIANT MOTO,60 RUE JEAN NOEL JEGO,56850,CAUDAN,808194054,Actif depuis le 05/11/2020,"Vente de véhicules neufs et occasions
Voir notre site internet pour plus d'infos.",Du Mardi au Samedi : 9H - 12H / 14H - 19H,Annonces (55)
611,ANTILOCK MONTROUGE,77 AVENUE ARISTIDE BRIAND,92120,Montrouge,808409395,Actif depuis le 17/01/2024,"➤ Acteur majeur sur le Marché depuis plus de10 ans, Antilock, 𝗲𝘅𝗽𝗲𝗿𝘁 𝗲𝗻 𝗮𝗰𝗰𝗲𝘀𝘀𝗼𝗶𝗿𝗲 𝗱𝗲 𝘀𝗲́𝗰𝘂𝗿𝗶𝘁𝗲́ 𝗲𝘁 𝗵𝗶𝗴𝗵-𝘁𝗲𝗰𝗵 𝟮 𝗿𝗼𝘂𝗲𝘀, propose des produits premiums soigneusement sélectionnés pour satisfaire les demandes des utilisateurs les plus exigeants.

Nous commercialisons 𝗖𝗮𝘀𝗾𝘂𝗲, 𝘃𝗲𝘀𝘁𝗲, 𝗰𝗵𝗮𝘂𝘀𝘀𝘂𝗿𝗲𝘀, 𝗮𝗻𝘁𝗶𝘃𝗼𝗹𝘀, 𝗽𝗿𝗼𝗱𝘂𝗶𝘁𝘀 𝗱’𝗲𝗻𝘁𝗿𝗲𝘁𝗶𝗲𝗻𝘀, 𝗹𝘂𝗯𝗿𝗶𝗳𝗶𝗮𝗻𝘁𝘀 𝗺𝗼𝘁𝗲𝘂𝗿𝘀 𝗲𝘁 𝗽𝗹𝗲𝗶𝗻𝘀 𝗱’𝗮𝘂𝘁𝗿𝗲𝘀 𝗮𝗿𝘁𝗶𝗰𝗹𝗲𝘀 qui vous serviront au quotidien.

Un 𝗰𝗼𝗶𝗻 𝘃𝗲́𝗹𝗼 est aussi représenté en magasin afin de faire bénéficier nos clients de notre expertise et notre savoir-faire.

𝗘𝗻 𝗾𝘂𝗲𝗹𝗾𝘂𝗲𝘀 𝗽𝗼𝗶𝗻𝘁𝘀, 𝗔𝗻𝘁𝗶𝗹𝗼𝗰𝗸 𝗰’𝗲𝘀𝘁 :

- 2 magasins en Ile-de-France
- 1 site de vente en ligne
- Plus de 30 marques différentes qui nous font confiance
- Des prix magasins = Prix web
- Une large gamme de produits pour tous les goûts et tous les prix

➤ 𝗡𝗼𝘁𝗿𝗲 𝗿𝗲́𝘀𝗲𝗮𝘂 𝘀’𝗮𝗴𝗿𝗮𝗻𝗱𝗶𝘁, 𝗲𝘁 𝗰’𝗲𝘀𝘁 𝗴𝗿𝗮̂𝗰𝗲 𝗮̀ 𝘃𝗼𝘂𝘀.
Rendez-vous dans un de nos shops ou en ligne afin de nous permettre de continuer cette belle aventure ensemble !","Mardi au vendredi: 10h-13h/14h-19h
Samedi: 10h-13h/14h-18h30",Annonces (128)
612,ANTILOCK PARIS,129 Rue De Montreuil,75011,Paris,820147809,Actif depuis le 17/06/2016,"➤ Acteur majeur sur le Marché depuis bientôt 10 ans, Antilock, expert en accessoire de sécurité et high-tech 2 roues, propose des produits premiums soigneusement sélectionnés pour satisfaire les demandes des utilisateurs les plus exigeants.

Nous commercialisons Casque, veste, chaussures, antivols, produits d’entretiens, lubrifiants moteurs et pleins d’autres articles qui vous serviront au quotidien.

Un coin vélo est aussi représenté en magasin afin de faire bénéficier nos clients de notre expertise et notre savoir-faire.

En quelques points, Antilock c’est :

- 3 magasins en Ile-de-France
- 1 site de vente en ligne
- Plus de 30 marques différentes qui nous font confiance
- Des prix magasins = Prix web
- Une large gamme de produits pour tous les gouts et tout le prix

➤ Notre réseau s’agrandit, et c’est grâce à vous.
Rendez-vous dans un de nos shops ou en ligne afin de nous permettre de continuer cette belle aventure ensemble !","Lundi au Vendredi : 10h00 - 19h00
Samedi : 10h00 - 18h30

Jours Fériés :10h30 - 18h30",Annonces (50)
613,ANTILOPE VAN,Rue du camp,22400,Coëtmieux,488166760,Actif depuis le 15/03/2022,"Pour un usage au quotidien, pour une évasion le temps d’un week-end ou d’un roadtrip :
découvrez toute une gamme de vans aménagés qui s’adapte à vos envies et à vos besoins.

Antilope VAN est une société bretonne spécialisée dans la conception et la fabrication de véhicules compacts de loisir.

Tous nos vans sont réalisés sur des véhicules neufs et comprennent des aménagements très complets, sans options.

Un prix accessible
Notre objectif est de fournir à nos clients, un van de haute qualité au meilleur prix. Afin de maîtriser les coûts, tous les process sont gérés en interne, pour vous offrir le meilleur rapport qualité/prix.

Qualité des matériaux
Nous concevons et fabriquons l’ensemble de l’ameublement en utilisant les meilleurs matériaux pour garantir à nos utilisateurs robustesse et durabilité.

Une fabrication française
Notre usine est installée en Bretagne (22). La majorité des matières premières et des composants utilisés, vient de notre région et de France.

Un van garanti 2 ans
Le véhicule et son aménagement sont garantis 2 ans à compter de la livraison. Voyagez l’esprit léger, nous nous chargeons du reste.",Du lundi au samedi,Annonces (16)
614,Antoine Caravanes,55 Avenue de Paris - LA TRICHERIE,86490,BEAUMONT,400033577,Actif depuis le 27/03/2013,"Fort de notre expérience depuis 1973, la société ANTOINE 
Caravanes Camping-cars est implantée à Beaumont - Saint-Cyr 
sur l'axe Châtellerault - Poitiers dans la Vienne (86)",Du mardi au samedi de 9h à 12h et de 14h à 19h,Annonces (18)
615,ANTONNE AUTOS,100 rte de limoges,24420,Antonne,347839839,Actif depuis le 31/07/2022,"Antonne Autos propose différents services:

REPRISE OU ACHAT
FINANCEMENT ( CREDIT TOTAL)
GARANTIES
ENTRETIEN
DEPANNAGE 24h/24h

TEL/ 05 53 06 07 08","du lundi au samedi de 9H00 à 12h et de 14h à 
18H30",Annonces (18)
616,ANTONYAN MOTORS,2 RUE PIERRE LATECOERE,85000,La Roche-sur-Yon,982820383,Actif depuis le 17/01/2021,"Bienvenue chez ANTONYAN MOTORS SARL , experts en vente de véhicules d'occasion à La Roche-sur-Yon.
Nous vous proposons des prestations complètes pour l'achat de votre prochaine voiture, incluant le financement, la carte grise et des extensions de garantie. Grâce à notre expertise, nous sélectionnons pour vous les meilleurs véhicules d'occasion, afin que vous bénéficiez d'un service fiable et de qualité.","du lundi au vendredi de 9H à 12H et de 14H à 19H, le samedi de 9H à 12H et de 14H à 17H",Annonces (25)
617,ANVU,ZAC Eole - 3 rue de Normandie,14540,Grentheville,879205714,Actif depuis le 31/01/2020,"Achat, vente et reprise de véhicules d'occasions multimarques. Tous nos véhicules sont garantis et révisés. Vous avez la possibilité de voir nos véhicules sur parc. Notre expérience nous permet de vous conseiller dans votre achat en cas de besoin.
Mercedes-Benz Groupe ANVU est votre adresse incontournable pour l’acquisition de véhicules de luxe Mercedes-Benz à Soliers-Grentheville. En tant que concessionnaire officiel de la prestigieuse marque automobile Mercedes-Benz, notre groupe s’engage à offrir une expérience d’achat exceptionnelle, mettant à votre disposition une gamme complète de véhicules haut de gamme. Explorez le raffinement, la performance et le confort des véhicules Mercedes-Benz dans un environnement professionnel et convivial.

À très bientôt.",,Annonces (17)
618,Apa 80,1 rue leopaul loucharr,80970,Sailly Flibeaucourt,751239088,Actif depuis le 03/05/2012,"Large gamme de pièces d'occasions pour Audi et Volkswagen.
Au meilleur rapport qualité/ prix.

Nos produits sont testés par nos soins avant la vente et 
garantis.
Possibilité de commande.
Envoi dans toute la France.
montage possible
remplacement par brise

rachat de véhicule 

Contactez notre équipe du lundi au samedi 
renseignements .","du lundi au samedi 9h 20h

uniquement sur rdv",Annonces (55)
619,AP ACTION AUTO,68 ROUTE D AUXERRE,89380,Appoigny,829656289,Actif depuis le 12/01/2024,"Nous vous proposons des véhicules de toutes marques telles que  renault, peugeot, citroen, bmw, volkswagen, audi, ds, dacia, toyota, nissan  ...

Tous nos véhicules sont contrôlés, révisés et garantis.
Vous recherchez une berline, citadine, suv, cabriolet, sportive?   

Pensez à nous contacter pour que notre équipe puisse vous accompagner dans votre nouvel achat.
Nous sommes membre du réseau DISTINXION Automobile; Vente de véhicules toutes marque Neuf et Occasion..","Service Commercial: Lundi au Vendredi : 8h45-12h00 et 14h00-18h00
Samedi : 8h45-12h00 et 14h00-18h00",Annonces (40)
620,AP AUTO 45,175 rue des Cassines,45560,Saint-Denis-En-Val,798631933,Actif depuis le 31/03/2023,"AP AUTO 45 , 175 rue des cassines 45560 Saint Denis en Val 
Achat vente dépôt vente 
Réparations entretient toutes marques 
Réparations et remplacement de vitrage auto","Visites uniquement sur rendez vous , du lundi au samedi 
8h30 - 18h30 du lundi au vendredi",Annonces (40)
621,AP AUTOMOBILE 21,5 RUE MERCEY,21200,Chevigny-en-Valière,918813049,Actif depuis le 28/01/2014,"Depot Vente 
Achat reprise véhicule 
véhicules d'occasion 
toutes marques utilitaires 
dépannage livraison
Vente de pièces et accessoires montage et garantie ( sur place )
Entretien tous véhicules",Lundi au samedi 9h 18h,Annonces (111)
622,A PLUS CAR,5 Impasse des Limites,93700,Drancy,893234476,Actif depuis le 04/02/2021,"Tous nos véhicules sont disponible sur notre parc.

Véhicules toutes marques.

N'hésitez pas à nous contacter.

A très vite !",Lundi au samedi,Annonces (14)
623,APM CLÉS,134 avenue Henri Barbusse,91270,Vigneux Sur Seine,811778554,Actif depuis le 14/09/2015,"Bonjour, votre spécialiste APM CLÉS vous propose plusieurs service :

LA PROGRAMMATION DE CLÉS POUR VÉHICULES DE TOUTES MARQUES .

LA RÉPARATION de clés, nous pouvons tester
votre clé, une réparation est toujours moins cher qu' une
clé neuve .

LES DOUBLES DE CLÉS , nous reproduisons la plupart des
doubles clés automobile de toutes marques , ( clés à dent
vague, transpondeur, puce )

CRÉATION DE CLÉ à partir d' une
serrure ou d' un neiman en cas de perte totale de clé.
Problème antidémarrage , carte défaillante ( impossible de
démarrer ) , Devis rapide et gratuit.
Site internet : www.apmcles.fr

Modèles pris en charge: 

PEUGEOT 208 308 307 508 3008 5008 AUDI a1 a2 a3 a4 a5 a6 a7 a8 q5 q3 TOYOTA RENAULT Clio megane 2 3 4 scenic twingo trafic kangoo master FORD transit focus fiesta VOLKSWAGEN golf 5 6 7 touran tiguan polo passat caddy YAMAHA tmax t-max t max xmax piaggio mp3 gilera toyota yaris corolla auris rav4 prius aygo chrisler nissan juke qashqai navara micra opel corsa zafira insigna astra meriva SUZUKI Citroen c1 c2 c3 c4 c5 picasso jumpy jumper expert nemo bipper scudo doblo Fiat 500 ducato boxer iveco ka L grande punto Honda Ford transit fiesta focus honda cbr kawasaki zx seat ibiza leon altea skoda kia iveco","DU MARDI AU VENDREDI
9H00 - 12H30 et 14H30 -18H30.  

LE SAMEDI 
10H00 - 12H 30 et 14H30 - 18H30.",Annonces (10)
624,AP MOTORS,3 RUE DE L ESCOUVRIER,95200,Sarcelles,849079611,Actif depuis le 31/05/2022,"Nous proposons des solutions de financement allant de 12 à 60 mois avec une réponse sous 48h, 10x sans frais jusqu'à 10 000€.
Tous nos véhicules sont visibles sur notre site web www.ap-motors.fr, avec un Histovec ou Carvertical (pour les imports.), de nombreuses photos, une fiche technique du constructeur avec la liste détaillée des options.
La livraison de nos véhicules par transporteur est un service que nous proposons pour les clients qui le désirent.
Tous nos véhicules sont en provenance de leasing ou 
particuliers avec une traçabilité complète.
Nous vous proposons des véhicules tels que Audi BMW Mercedes
SEAT RENAULT JAGUAR VOLKSWAGEN PORSCHE LAND ROVER CITROEN
Les véhicules sont contrôlés dans nos ateliers avant la 
vente puis remis en ordre si nécessaire, Révision à jour 
lors de la vente, les garanties que nous proposons varient 
entre 3 et 36 mois, valable partout en Europe.
Nous garantissons des produits de qualités,

Nous sommes aptes à proposer des prix marchands
pour nos véhicules, pour cela veuillez prendre 
contact avec notre service commercial.
Nous achetons votre voiture cash

Venez visitez notre site web www.ap-motors.fr
Mail : contact@ap-motors.fr

Tél. : 09.84.58.98.32
Tél. : 07.71.79.30.91","Lundi au vendredi de 9h à 12h30 et 14h à 
18h30",Annonces (19)
625,Apogée Motors,122 rue de la Marseillaise,60740,Saint-Maximin,810402289,Actif depuis le 28/10/2015,"Apogée Motors distribue et répare la marque Honda Automobile et Ducati.

Nous vous proposons un large choix de véhicules d' occasions toutes marques (autos et motos).Nos véhicules d' occasion sont révisés et garanties 12 mois minimum France et Europe. Ensemble, nous étudierons la solution de financement la mieux adaptée . Un service de livraison pourra vous livrer votre véhicule n' importe ou en France !

Au sein de notre concession, vous trouverez également nos gammes de véhicules neufs, des pièces détachées et des accessoires (auto, moto et pilote) ! La collection de vêtements et des goodies sont disponible pour porter les couleurs de vos marques.

Apogée Motors est une concession du groupe CB AUTOMOBILES .
CB automobiles est un groupe familial : sa présidente Cécile Belland, succède à son père, Monsieur Luc Bertrand en 2009. Celui-ci avait racheté la première concession du groupe en 1992, Espace St Maximin.
Le groupe CB automobiles implanté dans le sud de L’Oise, près de Chantilly exploite 6 marques automobiles et une marque moto sur un site de 30 000 m2 !

Venez nous rendre visite !","du lundi au vendredi :
de 9h00 à 12h00 et de 14h00 à 19h00
le samedi :
de 9h00 à 12h00 et de 14h00 à 18h00",Annonces (65)
626,AP PNEU,Les bruyeres,43120,Monistrol-sur-Loire,452065493,Actif depuis le 02/04/2016,"AP PNEU vous propose une sélection de véhicules d'occasion révisés et garantis

Les Services : 

- Recherche personnalisée
- Reprise de votre véhicule

Contactez nous pour toutes informations","Lundi sur rdv 0672797912

Mardi au vendredi
9h12h-13h18h

Samedi sur rdv 0672797912",Annonces (23)
